volume,eye,seed_rank,radius_hops,method,scored_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae
20231107,0,6,2,axisymmetric_ellipsoid,19,30.290278703638993,32.03724624905506,0.997246848373824
20231107,0,6,2,graph_harmonic_depth_shared_shape,19,1.1110707258498944,2.502663498997952,0.035067648324438074
20231107,0,6,2,nearest_visible_surface,19,2.291882760352897,3.7126777212984807,0.07513783483173386
20231107,0,6,2,same_eye_outer_ridge,19,3.4836361292245783,4.926164716679227,0.11503867184103257
20231107,0,6,2,same_eye_template,19,2.6907351438260294,4.680805799509673,0.08665641722629402
20231107,0,6,2,six_neighbor_depth_shared_shape,19,1.4690364334709363,2.643877841732626,0.04357480952138152
20231107,0,6,2,six_neighbor_surface,19,1.4746311638036278,2.592346671969225,0.0435697873693706
20231107,0,6,3,axisymmetric_ellipsoid,37,30.375390325900185,32.00665090205333,0.9686938181215071
20231107,0,6,3,graph_harmonic_depth_shared_shape,37,1.2527781629539685,2.571647427426342,0.037811252666829054
20231107,0,6,3,nearest_visible_surface,37,1.533391124526065,3.691529009634182,0.04695610091638591
20231107,0,6,3,same_eye_outer_ridge,37,4.484381452199715,5.706723672649401,0.1382342621609064
20231107,0,6,3,same_eye_template,37,3.7901478883020783,5.464108112935438,0.11831935310441617
20231107,0,6,3,six_neighbor_depth_shared_shape,37,0.9732003359393171,2.568120230947551,0.031089586939777078
20231107,0,6,3,six_neighbor_surface,37,0.998340051839738,2.56551193712656,0.03149384225193448
20231107,0,7,1,axisymmetric_ellipsoid,7,29.433633624282326,30.496278903344518,0.9768199029149139
20231107,0,7,1,graph_harmonic_depth_shared_shape,7,0.3202939654468994,1.396668590342398,0.01049102372270978
20231107,0,7,1,nearest_visible_surface,7,0.4826693799094321,1.0814422853945285,0.01580952643859588
20231107,0,7,1,same_eye_outer_ridge,7,2.23993134436002,3.0405850120758524,0.07600240628622039
20231107,0,7,1,same_eye_template,7,2.0204999713756773,2.2886684205677805,0.06628662587273562
20231107,0,7,1,six_neighbor_depth_shared_shape,7,0.566435505760037,1.8945685703205066,0.01921954507762611
20231107,0,7,1,six_neighbor_surface,7,0.545833203117868,1.875520622176264,0.018520494823347368
20231107,0,7,2,axisymmetric_ellipsoid,19,29.23909428958916,31.6181799594571,0.970332633457551
20231107,0,7,2,graph_harmonic_depth_shared_shape,19,0.611272886299871,1.2572743379727294,0.019750248476297926
20231107,0,7,2,nearest_visible_surface,19,1.7514610653271234,2.583774219129543,0.05297359550504065
